"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Variable,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
body copy a,ct text + text,ct text half (right) - text,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + text,ct text half (right) - text,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + text,ct text half (right) - text,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + text,ct text half (right) - text,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with centred text,ct full-width image with text centre - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with text + text,ct full-width image with text left & right (left) - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
